Image,True_WNID,True_Label,Second_Last_Top1_WNID,Second_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_17,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",0.00013800495071336627,0.0013352199457585812,0.0024349461309611797,0.003003909718245268,0.0024007216561585665,0.00295569421723485,0.004675460979342461,0.008185716345906258,0.022578148171305656,0.005374856758862734,0.0007854393334127963,0.0002703675127122551
Image_18,n01443537,"goldfish, Carassius auratus",n02281406,"sulphur butterfly, sulfur butterfly",0.00022408923541661352,6.709140143357217e-05,0.0001880950148915872,0.00019630177121143788,0.0004850724071729928,0.00047015404561534524,0.0005426853313110769,0.0003232721355743706,0.0009369524195790291,0.021017923951148987,0.006178119219839573,0.00014181215374264866
Image_19,n01443537,"goldfish, Carassius auratus",n04376876,syringe,4.797169367520837e-06,8.949788934842218e-06,1.2782699741364922e-05,4.975466072210111e-05,0.00017398649652022868,0.0010153957409784198,0.0005148209165781736,0.0017789957346394658,0.0646040290594101,0.6048246622085571,0.3562152087688446,0.04269617423415184
Image_20,n01443537,"goldfish, Carassius auratus",n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",0.00044552769395522773,3.452507735346444e-05,3.809951158473268e-05,3.8191625208128244e-05,5.800013241241686e-05,0.00022422047914005816,0.00015137782611418515,0.00028664967976510525,0.0022363646421581507,0.009358522482216358,0.05917567387223244,0.03470909222960472
Image_21,n01443537,"goldfish, Carassius auratus",n02364673,"guinea pig, Cavia cobaya",3.953925897803856e-06,2.4436461899313144e-05,5.189472358324565e-05,5.413642429630272e-05,0.00015130871906876564,0.00028008141089230776,5.6182554544648156e-05,0.000268136034719646,0.0009949433151632547,0.009185715578496456,0.025412732735276222,0.02025436982512474
Image_22,n01443537,"goldfish, Carassius auratus",n02233338,"cockroach, roach",7.312784146051854e-05,8.080334373516962e-05,3.4855482226703316e-05,5.3662064601667225e-05,4.715362229035236e-05,3.0470231649815105e-05,3.5551824112189934e-05,0.0003982989874202758,0.010394323617219925,0.10069796442985535,0.0693720206618309,0.2851552367210388
Image_23,n01443537,"goldfish, Carassius auratus",n04376876,syringe,3.8107136788312346e-06,5.718712600355502e-06,8.030756362131797e-06,4.429306500242092e-05,0.00013806193601340055,0.0005103062139824033,0.00027818226953968406,0.0003311249311082065,0.001100685796700418,0.0011830521980300546,0.021290723234415054,0.2491762340068817
Image_24,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.00018231577996630222,0.0002978318661917001,0.0002024913701461628,0.00010123685206053779,0.00017114082584157586,0.00040750837069936097,0.0007787405629642308,0.002983556827530265,0.007414091378450394,0.5338389277458191,0.3369886875152588,0.172538623213768
Image_25,n01443537,"goldfish, Carassius auratus",n04399382,"teddy, teddy bear",0.0017881800886243582,0.006187049206346273,0.005455321632325649,0.0010288846679031849,0.0007924758247099817,0.002340995706617832,0.0018514740513637662,0.005969096440821886,0.03223526477813721,0.012325230985879898,0.010419889353215694,0.0007115384796634316
Image_26,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.0001239844859810546,0.0002400293742539361,0.00019943679217249155,0.00010060764179797843,0.0001891582360258326,0.0006940815364941955,0.0015656910836696625,0.0015376119408756495,0.023320350795984268,0.19402210414409637,0.22099314630031586,0.13091933727264404
Image_27,n01443537,"goldfish, Carassius auratus",n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.00016379707085434347,0.00021891584037803113,4.1004186641657725e-05,2.3169490305008367e-05,4.0865961636882275e-05,4.7262907173717394e-05,0.00010400341125205159,0.0002711789566092193,0.000971249130088836,0.00011048243322875351,0.00031465585925616324,0.04965943098068237
Image_28,n01443537,"goldfish, Carassius auratus",n04560804,water jug,0.0005744247464463115,0.0024363650009036064,0.006533601321280003,0.002052927389740944,0.00099723890889436,0.0027121715247631073,0.005750482436269522,0.009246893227100372,0.15129415690898895,0.1346403956413269,0.15767954289913177,0.25675106048583984
Image_29,n01443537,"goldfish, Carassius auratus",n03670208,"limousine, limo",0.000266822287812829,0.0013710713246837258,0.010466573759913445,0.015530534088611603,0.020457521080970764,0.008032859303057194,0.0073915268294513226,0.009602800942957401,0.08180898427963257,0.029552355408668518,0.0038401526398956776,0.00011889162851730362
Image_30,n01443537,"goldfish, Carassius auratus",n02814860,"beacon, lighthouse, beacon light, pharos",4.024809459224343e-05,0.00012877254630438983,0.0008195011178031564,0.000687067280523479,0.000526420131791383,0.00038526064599864185,0.00019154224719386548,0.00016407294606324285,0.0005527845351025462,0.0006585950031876564,0.006297058891505003,0.0019023363711312413
Image_31,n01443537,"goldfish, Carassius auratus",n02281406,"sulphur butterfly, sulfur butterfly",0.00026325270300731063,0.00015178158355411142,0.0004995024646632373,0.00039407252916134894,0.0009335206123068929,0.0011379708303138614,0.001271965098567307,0.002509836573153734,0.010003536008298397,0.255962997674942,0.013721933588385582,0.006967993453145027
Image_32,n01443537,"goldfish, Carassius auratus",n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.00030318248900584877,0.00044581195106729865,0.0002934203948825598,0.00023455548216588795,0.00022764221648685634,0.00027692411094903946,0.0004971050075255334,0.0007471182034350932,0.0033317054621875286,0.02276628091931343,0.032024085521698,0.08572349697351456
Image_33,n01443537,"goldfish, Carassius auratus",n01945685,slug,1.355644690193003e-05,7.914808520581573e-05,0.00026290566893294454,0.00018895238463301212,0.0005504279397428036,0.0003844760649371892,0.0008115659584291279,0.0019025185611099005,0.011861156672239304,0.02384800650179386,0.019301019608974457,0.010127777233719826
Image_34,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.004860796499997377,0.0010453634895384312,0.0009251240990124643,0.0013393948320299387,0.008441423997282982,0.013343095779418945,0.025745568796992302,0.13501206040382385,0.4364975392818451,0.9491955637931824,0.7678529024124146,0.383796751499176
Image_35,n01443537,"goldfish, Carassius auratus",n04254777,sock,0.00031497064628638327,0.015618630684912205,0.007498577702790499,0.00621205335482955,0.020148612558841705,0.08378256112337112,0.15576377511024475,0.21569176018238068,0.2570480406284332,0.12937474250793457,0.04060820862650871,0.004105201456695795
Image_36,n01443537,"goldfish, Carassius auratus",n04507155,umbrella,5.881918332306668e-05,0.0005868462612852454,0.004741072654724121,0.0003503258340060711,0.00023230545048136264,0.00036440195981413126,0.0003190857532899827,0.00044136098586022854,0.007826359942555428,0.6420451998710632,0.840999960899353,0.27062225341796875
Image_37,n01443537,"goldfish, Carassius auratus",n04596742,wok,8.46790771902306e-06,4.183641794952564e-05,8.237108704634011e-05,4.390336835058406e-05,4.781810275744647e-05,7.76032466092147e-05,0.0001734111865516752,0.00024904703604988754,0.00239022308960557,0.007258325815200806,0.0036319224163889885,0.00034783667069859803
Image_38,n01443537,"goldfish, Carassius auratus",n01945685,slug,4.627953967428766e-05,0.0001497775228926912,0.0003109455283265561,0.0001497597259003669,0.0004256107204128057,0.000298654951620847,0.00032161103445105255,0.0005926058511249721,0.0008492223569191992,0.03512342646718025,0.29388755559921265,0.22952647507190704
Image_39,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",0.0001650775084272027,0.0002563378366176039,0.0001576935756020248,8.928227180149406e-05,0.00015068026550579816,0.0004873915167991072,0.0009963628835976124,0.0016023071948438883,0.008817925117909908,0.07009188085794449,0.24011385440826416,0.2250465601682663
Image_40,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",0.0003316388465464115,0.0018523845355957747,0.002249682554975152,0.0019248096505180001,0.001764649641700089,0.002453087130561471,0.014746904373168945,0.07021548599004745,0.3327343761920929,0.37587741017341614,0.06096907705068588,0.001491332077421248
Image_41,n01443537,"goldfish, Carassius auratus",n04507155,umbrella,3.9351583836833015e-05,0.0004645736771635711,0.0036725811660289764,0.00027242902433499694,0.0003028164501301944,0.0008857453358359635,0.0007981211529113352,0.0005294159054756165,0.0047402107156813145,0.15042278170585632,0.42831459641456604,0.32207581400871277
Image_42,n01443537,"goldfish, Carassius auratus",n02909870,"bucket, pail",0.003351388731971383,0.0016060750931501389,0.0016045403899624944,0.0027748658321797848,0.006481190677732229,0.008365966379642487,0.008908238261938095,0.11219838261604309,0.2563837468624115,0.6415164470672607,0.3474762439727783,0.1483927071094513
Image_43,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.06666849553585052,0.016755828633904457,0.008782067336142063,0.00824219174683094,0.00808182917535305,0.004741164389997721,0.005827429238706827,0.011760490946471691,0.060921087861061096,0.4237686097621918,0.0005350635619834065,5.079078982817009e-05
Image_44,n01443537,"goldfish, Carassius auratus",n07615774,"ice lolly, lolly, lollipop, popsicle",9.246367881132755e-06,4.0214643377112225e-05,0.000166926474776119,5.3269443014869466e-05,0.00010402514453744516,0.0005091765196993947,0.0018182271160185337,0.0028264669235795736,0.06610625982284546,0.04382297024130821,0.04522459954023361,0.06161034479737282
Image_45,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",0.00010803688928717747,0.002059114398434758,0.003009780775755644,0.0022893359418958426,0.0012764375424012542,0.0018497040728107095,0.014162449166178703,0.10885114967823029,0.3120650053024292,0.026766790077090263,0.0007447823300026357,7.071822619764134e-05
Image_46,n01443537,"goldfish, Carassius auratus",n02281406,"sulphur butterfly, sulfur butterfly",0.00017164243035949767,0.00010356574784964323,0.0002943823055829853,0.00023179904383141547,0.0005517909885384142,0.0004419061588123441,0.00043453951366245747,0.000787925673648715,0.0028247397858649492,0.01014543604105711,0.006495149806141853,0.000789361831266433
Image_47,n01443537,"goldfish, Carassius auratus",n03937543,pill bottle,0.000743311655241996,0.000746847887057811,0.0007118112407624722,0.001759059145115316,0.003847267245873809,0.0033595978748053312,0.009582956321537495,0.009175683371722698,0.00798769947141409,0.06243696063756943,0.4423574209213257,0.17690099775791168
Image_48,n01443537,"goldfish, Carassius auratus",n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",7.846310472814366e-05,0.00023573260114062577,5.387044438975863e-05,3.444170215516351e-05,6.919409497641027e-05,0.0001116511266445741,0.0002538534172344953,0.0010245845187455416,0.006062021013349295,0.11119060963392258,0.010318595916032791,0.00031850612140260637
Image_49,n01443537,"goldfish, Carassius auratus",n03937543,pill bottle,0.001710311509668827,0.00044024287490174174,0.00041285011684522033,0.0008389958529733121,0.0017285604262724519,0.0022493121214210987,0.007156112231314182,0.011831231415271759,0.00821713637560606,0.059724111109972,0.6940646171569824,0.13933728635311127
Image_50,n01443537,"goldfish, Carassius auratus",n01641577,"bullfrog, Rana catesbeiana",0.03167055919766426,0.01702122576534748,0.00726623460650444,0.004590011667460203,0.005634284112602472,0.0031859392765909433,0.0037205591797828674,0.018335839733481407,0.0365406833589077,0.5972960591316223,0.00113268184941262,0.00023490424791816622
Image_51,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",2.038621823885478e-05,4.665476353693521e-06,2.6432728191139176e-05,8.94796903594397e-05,0.0002672891423571855,0.0003489117370918393,0.0003909213119186461,0.0004869415133725852,0.003516232594847679,0.000386854080716148,0.00012369925389066339,5.860116289113648e-05
Image_52,n01629819,"European fire salamander, Salamandra salamandra",n01784675,centipede,2.423029945930466e-05,4.788466867466923e-06,1.3977433809486683e-05,1.887388680188451e-05,2.929520451289136e-05,9.891027730191126e-05,0.00019223721756134182,0.0005326565587893128,0.0028981203213334084,0.06476715207099915,0.039071373641490936,0.07722644507884979
Image_53,n01629819,"European fire salamander, Salamandra salamandra",n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",0.00025714648654684424,0.0005892690387554467,0.00045241686166264117,0.00037383046583272517,0.0002830602170433849,0.00041822693310678005,0.0009355284855701029,0.0019766329787671566,0.01478559896349907,0.022424548864364624,0.11965113878250122,0.4084875285625458
Image_54,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.000679441902320832,0.001206497778184712,0.0016677194507792592,0.004566875286400318,0.008075857535004616,0.009600060060620308,0.02637840248644352,0.08577568084001541,0.10806070268154144,0.016692055389285088,0.0001123204710893333,1.540115954412613e-05
Image_55,n01629819,"European fire salamander, Salamandra salamandra",n01770393,scorpion,5.275256626191549e-05,0.00014551979256793857,5.403440081863664e-05,7.508361886721104e-05,0.0002713018620852381,0.00030935497488826513,0.00031454151030629873,0.001179223065264523,0.014677239581942558,0.16790370643138885,0.1353703886270523,0.016125459223985672
Image_56,n01629819,"European fire salamander, Salamandra salamandra",n01784675,centipede,3.621454379754141e-05,6.453184141719248e-06,1.313242955802707e-05,1.8203632862423547e-05,2.4100725568132475e-05,4.942879968439229e-05,9.340612450614572e-05,0.00022546474065165967,0.0007196128717623651,0.020523464307188988,0.092997707426548,0.07129072397947311
Image_57,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.0006493993569165468,0.0016850162064656615,0.00195274967700243,0.004555407911539078,0.008486103266477585,0.012217657640576363,0.01927454024553299,0.046183690428733826,0.020306406542658806,0.006802069488912821,0.09732629358768463,0.21884910762310028
Image_58,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.0006112601840868592,0.0015473641688004136,0.0017141022253781557,0.0030264139641076326,0.005963055416941643,0.008690310642123222,0.020797569304704666,0.08647461235523224,0.04907236620783806,0.00010915848542936146,4.6040733536756306e-07,1.0133231853615143e-07
Image_59,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",1.3214311366027687e-05,3.860515334963566e-06,1.7117852621595375e-05,6.465714250225574e-05,0.0001719395659165457,0.0002503124997019768,0.0005385528202168643,0.0006631836295127869,0.005277423653751612,0.010597927495837212,0.0017741366755217314,0.0002054725628113374
Image_60,n01629819,"European fire salamander, Salamandra salamandra",n01945685,slug,2.990319080709014e-05,0.00010403394844615832,0.00029269681544974446,0.00022520367929246277,0.0005289535038173199,0.00042617725557647645,0.0004979234654456377,0.001845620688982308,0.004929391201585531,0.36056163907051086,0.6405528783798218,0.2703591585159302
Image_61,n01629819,"European fire salamander, Salamandra salamandra",n01950731,"sea slug, nudibranch",1.0694581760617439e-05,5.547601176658645e-05,8.692561823409051e-05,9.676285117166117e-05,0.00021450570784509182,0.0008388617425225675,0.0009578226017765701,0.0036412780173122883,0.0017465139972046018,0.0035371226258575916,0.004061107058078051,0.002012599492445588
Image_62,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.000838148349430412,0.0015828146133571863,0.0018377532251179218,0.004329660441726446,0.008878549560904503,0.015783848240971565,0.03725796565413475,0.12032172828912735,0.058481696993112564,0.0012946069473400712,2.793437488435302e-06,1.9646329292299924e-06
Image_63,n01629819,"European fire salamander, Salamandra salamandra",n07734744,mushroom,0.00011729133984772488,0.00017483562987763435,6.145454972283915e-05,6.664000102318823e-05,0.00011453370098024607,0.00028300954727455974,0.0003952478291466832,0.000592394731938839,0.0012891811784356833,0.0006977277807891369,0.004467221908271313,0.017698293551802635
Image_64,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.0006402454455383122,0.002330897841602564,0.0019683586433529854,0.004827383905649185,0.007120228372514248,0.011331063695251942,0.013979138806462288,0.0636773630976677,0.07502767443656921,0.09712351858615875,0.0007319616270251572,6.11630966886878e-05
Image_65,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",1.4622301023337059e-05,3.896810540027218e-06,1.883733602880966e-05,5.6310447689611465e-05,0.0001381633192067966,0.00014248628576751798,9.606725507183e-05,6.123421917436644e-05,0.0001439140032744035,1.1235061720071826e-05,3.885117166646523e-06,1.450642230338417e-06
Image_66,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",2.6227407943224534e-05,4.802300281880889e-06,2.529741141188424e-05,7.187108712969348e-05,0.0001555290218675509,0.00011789096606662497,0.00017699583258945495,0.00013473907893057913,0.00034877145662903786,6.20780156168621e-06,1.0950701835099608e-05,6.4172272686846554e-06
Image_67,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.000632703595329076,0.0013984334655106068,0.0015931858215481043,0.003836583811789751,0.006580543238669634,0.008952776901423931,0.02391824498772621,0.07086695730686188,0.0671030655503273,0.17484194040298462,0.006811835337430239,0.0013867727247998118
Image_68,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",8.670206625538412e-06,5.296599738358054e-06,3.0529881769325584e-05,8.398169302381575e-05,0.00023058646183926612,0.0002583749301265925,0.00027403293643146753,0.00035334471613168716,0.003767611924558878,0.06242252141237259,0.05160613730549812,0.1647011786699295
Image_69,n01629819,"European fire salamander, Salamandra salamandra",n02669723,"academic gown, academic robe, judge's robe",0.0003343872376717627,0.00048481521662324667,0.00014318207104224712,0.00042323576053604484,0.0006490231025964022,0.0006987405358813703,0.0019138805801048875,0.0022954968735575676,0.004055837634950876,0.006450702901929617,0.004774019122123718,0.03224433586001396
Image_70,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",0.008457668125629425,0.016055427491664886,0.014902650378644466,0.008754161186516285,0.013334627263247967,0.007020263466984034,0.0049215578474104404,0.0198984332382679,0.0664089024066925,0.030506249517202377,0.002142162062227726,0.00014300119073595852
Image_71,n01629819,"European fire salamander, Salamandra salamandra",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.003584689926356077,0.002283106790855527,0.0027210365515202284,0.005658602807670832,0.03328363597393036,0.006358982529491186,0.0013794043334200978,0.002495863940566778,0.0034340519923716784,0.011265513487160206,0.0008242087787948549,4.034357698401436e-05
Image_72,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",1.8395972801954485e-05,3.9153646866907366e-06,2.0318078895797953e-05,7.56456793169491e-05,0.00017067306907847524,0.00014142580039333552,0.00013996721827425063,9.632269211579114e-05,0.00012595561565831304,7.423411716445116e-06,6.316639428405324e-06,5.212937139731366e-06
Image_73,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",3.066745921387337e-05,9.036878509505186e-06,1.8753438780549914e-05,5.5115888244472444e-05,0.00016069166304077953,0.00014462257968261838,0.00012755241186823696,0.00011595825344556943,0.00018279651703778654,0.0009255049517378211,0.0003975950530730188,0.000261181965470314
Image_74,n01629819,"European fire salamander, Salamandra salamandra",n02364673,"guinea pig, Cavia cobaya",3.283157411715365e-06,8.973675903689582e-06,1.747726128087379e-05,2.255984873045236e-05,6.0212209064047784e-05,7.303781603695825e-05,2.5215642381226644e-05,0.0002913456701207906,0.003165680216625333,0.020808463916182518,0.09561220556497574,0.22555623948574066
Image_75,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",0.051580317318439484,0.012889523059129715,0.007650342304259539,0.0039753676392138,0.005714781116694212,0.005090602673590183,0.009631965309381485,0.016255728900432587,0.04814617335796356,0.05152547359466553,0.13641595840454102,0.022539084777235985
Image_76,n01629819,"European fire salamander, Salamandra salamandra",n04118538,rugby ball,0.02388761006295681,0.03266451880335808,0.017372947186231613,0.02384595014154911,0.017657926306128502,0.007018771022558212,0.019594991579651833,0.14375044405460358,0.08167216181755066,0.06302067637443542,0.05674155801534653,0.27221181988716125
Image_77,n01629819,"European fire salamander, Salamandra salamandra",n03649909,"lawn mower, mower",1.8958060536533594e-05,0.002430925378575921,0.000411062384955585,0.00012777723895851523,0.00022757794067729264,0.0006865009781904519,0.001161235966719687,0.003252520225942135,0.0016344941686838865,0.0023485019337385893,2.9109785828040913e-05,5.785611392639112e-06
Image_78,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.0006726094288751483,0.0014387600822374225,0.001589438528753817,0.003549124812707305,0.007219466846436262,0.0068724872544407845,0.014836478978395462,0.02493668533861637,0.018086157739162445,0.0009417702676728368,7.57000598241575e-05,2.0860652512055822e-05
Image_79,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",2.445850259391591e-05,5.94921857555164e-06,2.4813436539261602e-05,6.53304741717875e-05,0.00017697623115964234,0.0002644203486852348,0.00032849403214640915,0.0004035161400679499,0.0013471543788909912,0.004389896523207426,0.00016302340372931212,1.3369398402574006e-05
Image_80,n01629819,"European fire salamander, Salamandra salamandra",n01770393,scorpion,4.795443237526342e-05,0.00011807725968537852,4.8834524932317436e-05,6.864299939479679e-05,0.00023894119658507407,0.00014461368846241385,0.00013887477689422667,0.0004858412139583379,0.001500820624642074,0.0009336932562291622,0.007385218515992165,0.006365254055708647
Image_81,n01629819,"European fire salamander, Salamandra salamandra",n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",0.0020946525037288666,0.0166508499532938,0.023275557905435562,0.006780330091714859,0.0034216190688312054,0.002239628927782178,0.0037917927838861942,0.012113550677895546,0.043016739189624786,0.03824381157755852,0.0013181635877117515,0.00017293808923568577
Image_82,n01629819,"European fire salamander, Salamandra salamandra",n01945685,slug,1.7855043552117422e-05,9.476812556385994e-05,0.00030592194525524974,0.00021955282136332244,0.00033023071591742337,0.00025535974418744445,0.0002998641284648329,0.0010594162158668041,0.00277504394762218,0.11597218364477158,0.038548871874809265,0.014566482044756413
Image_83,n01629819,"European fire salamander, Salamandra salamandra",n04356056,"sunglasses, dark glasses, shades",0.012708131223917007,0.0050912280566990376,0.004016323946416378,0.0085841603577137,0.005601070821285248,0.004044042434543371,0.0091655682772398,0.01850889064371586,0.02308369055390358,0.031436312943696976,0.1296551674604416,0.047079410403966904
Image_84,n01629819,"European fire salamander, Salamandra salamandra",n02999410,chain,0.0005363874370232224,0.000767796125728637,0.0009485553600825369,0.0018859758274629712,0.002866395516321063,0.0045635513961315155,0.0076672728173434734,0.027994895353913307,0.010441729798913002,0.051454994827508926,0.09959854185581207,0.3238944411277771
Image_85,n01629819,"European fire salamander, Salamandra salamandra",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.0047830855473876,0.0018761279061436653,0.0022220530081540346,0.004601741675287485,0.028015637770295143,0.008033661171793938,0.0027029544580727816,0.005373223219066858,0.028176764026284218,0.0523320771753788,0.017477503046393394,0.001908511738292873
