Image,True_WNID,True_Label,Third_Last_Top1_WNID,Third_Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_11,n01443537,"goldfish, Carassius auratus",n09256479,coral reef,5.986699397908524e-05,6.649053102592006e-05,4.683868246502243e-05,3.447099152253941e-05,9.947599755832925e-05,0.00023317444720305502,0.00016442897322122008,0.0003819138219114393,0.0004803378542419523,0.0006111033726483583,0.003297303570434451,0.01115424931049347
Image_12,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007043980294838548,0.0005800423678010702,0.0008154027163982391,0.00046586222015321255,0.0009713875479064882,0.001077543944120407,0.0016674677608534694,0.0012429709313437343,0.0030812097247689962,0.0035796971060335636,0.019769703969359398,0.005779188591986895
Image_13,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006890834774821997,0.0005630818195641041,0.0007677703979425132,0.0004278331180103123,0.0008649073424749076,0.0009269039728678763,0.0018495284020900726,0.0018764798296615481,0.0032401636708527803,0.006657820660620928,0.01883394457399845,0.00227623013779521
Image_14,n01443537,"goldfish, Carassius auratus",n03089624,"confectionery, confectionary, candy store",0.0015333660412579775,0.0022610630840063095,0.002738275332376361,0.002698544878512621,0.004946860950440168,0.008605754934251308,0.002982942620292306,0.0041963402181863785,0.004892352037131786,0.007569040171802044,0.014047188684344292,0.06387931108474731
Image_15,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006822067080065608,0.0006140209152363241,0.0009182117646560073,0.0006111788097769022,0.0011648930376395583,0.0009777763625606894,0.0018645247910171747,0.0010610294993966818,0.0024583381600677967,0.0032166247256100178,0.016301486641168594,0.0005472707562148571
Image_16,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.59018300936043e-10,1.6819224901709617e-09,1.084936585016294e-09,3.4820863969997617e-09,1.15217604346185e-08,9.343280815699018e-09,3.313687813033539e-08,3.748158761140985e-08,5.108569567369159e-08,3.442782059437377e-08,1.561046332199112e-07,0.11313880980014801
Image_17,n01443537,"goldfish, Carassius auratus",n01950731,"sea slug, nudibranch",6.956372977651171e-11,2.0927233557177516e-10,1.652330078316666e-10,2.247860508841626e-10,6.932527329972515e-10,7.302125015762329e-10,3.6222886912185004e-09,3.757110622615301e-09,4.5840868878599395e-09,2.8996071321785166e-08,8.178737971320515e-07,0.007175014819949865
Image_18,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.0005623528268188238,0.0004937607445754111,0.00027260996284894645,0.0007770980009809136,0.0008246578508988023,0.0005241046892479062,0.0006432590307667851,0.00032524141715839505,0.00033831963082775474,0.0003584092191886157,0.003976141568273306,0.045197196304798126
Image_19,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.000615689146798104,0.0005454038619063795,0.00025966056273318827,0.0008453877526335418,0.0008184823673218489,0.0004624271241482347,0.0006621801876462996,0.0002692436391953379,0.00035290225059725344,0.0003084639902226627,0.0024364448618143797,0.0007612462504766881
Image_20,n01443537,"goldfish, Carassius auratus",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",3.796621513174614e-06,6.938098977116169e-06,1.4975159501773305e-05,1.5557961887679994e-05,2.376733027631417e-05,4.7836871090112254e-05,0.0001695009123068303,0.00012261586380191147,5.7721765188034624e-05,3.162781649734825e-05,0.00015088036889210343,0.06575436890125275
Image_21,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007104288088157773,0.0006172426510602236,0.0008523456053808331,0.000469196675112471,0.00118549435865134,0.0013148533180356026,0.0021458775736391544,0.0016828159568831325,0.003499234328046441,0.005644043907523155,0.02527383528649807,0.0015289579750970006
Image_22,n01443537,"goldfish, Carassius auratus",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",7.587977961520664e-06,1.0871712220250629e-05,1.6924259398365393e-05,1.3974004104966298e-05,2.733240762609057e-05,5.265362415229902e-05,0.0001491172588430345,9.905402839649469e-05,6.757082155672833e-05,0.00013767597556579858,0.0003996748710051179,0.09862092137336731
Image_23,n01443537,"goldfish, Carassius auratus",n02669723,"academic gown, academic robe, judge's robe",9.70024643720535e-07,1.472496364840481e-06,1.2792067991540534e-06,1.7829742091635126e-06,3.1943384328769753e-06,7.009814908087719e-06,1.3846084584656637e-05,1.7867812857730314e-05,1.4380056200025138e-05,2.0786425011465326e-05,6.885187758598477e-05,0.06088897958397865
Image_24,n01443537,"goldfish, Carassius auratus",n07768694,pomegranate,1.4291482330008876e-05,3.569536056602374e-05,3.988936441601254e-05,4.1335111745866016e-05,4.902868022327311e-05,2.9649720090674236e-05,9.443704038858414e-05,0.00023323246568907052,0.00019816630810964853,0.0001194211799884215,0.0003173665900249034,0.09810667484998703
Image_25,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006186346290633082,0.0005322378128767014,0.0007678489200770855,0.0004516008775681257,0.0010000679176300764,0.0010117372730746865,0.0012366892769932747,0.0011289389804005623,0.002974372822791338,0.0034090892877429724,0.01914074458181858,0.0009257722995243967
Image_26,n01443537,"goldfish, Carassius auratus",n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",1.8187921169143806e-09,1.025018470102168e-08,7.070966923095057e-09,1.785729253356294e-08,2.945470001236572e-08,3.505906676082304e-08,1.614374127711926e-07,4.356525948878698e-07,3.6767821143257606e-07,2.27226379934109e-07,1.9909730326617137e-06,0.03049626387655735
Image_27,n01443537,"goldfish, Carassius auratus",n02909870,"bucket, pail",0.002869280520826578,0.004787813406437635,0.005082635208964348,0.005402351729571819,0.005489079747349024,0.0020897795911878347,0.0015785160940140486,0.0013391192769631743,0.0022174736950546503,0.0013948576524853706,0.006740227807313204,0.014834463596343994
Image_28,n01443537,"goldfish, Carassius auratus",n02321529,"sea cucumber, holothurian",2.9158300094422884e-06,1.2840861927543301e-05,5.819857051392319e-06,3.5741425108426483e-06,1.206950855703326e-05,2.186119854741264e-05,3.833738082903437e-05,2.1180518160690553e-05,1.4169119822327048e-05,1.628980135137681e-05,9.83788922894746e-05,0.011214351281523705
Image_29,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006857110420241952,0.0005631703534163535,0.0007951342267915606,0.00047178627573885024,0.0009181967470794916,0.0009794991929084063,0.0012673952151089907,0.001513182302005589,0.002533750142902136,0.0039011952467262745,0.05173053219914436,0.00785680953413248
Image_30,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006269357982091606,0.0005242433398962021,0.000702077813912183,0.0004177142691332847,0.000822247180622071,0.0007955995970405638,0.001884348108433187,0.0022495295852422714,0.003878804622218013,0.003350808983668685,0.012017590925097466,0.0010739922290667892
Image_31,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006176279275678098,0.000528284756001085,0.0007429210236296058,0.00048643548507243395,0.0009502678294666111,0.0012021451257169247,0.0019139681244269013,0.0020255635026842356,0.0035534489434212446,0.0031763403676450253,0.017833707854151726,0.0028969787526875734
Image_32,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007141375681385398,0.0005624005571007729,0.0007998614455573261,0.0004625086148735136,0.0009011157089844346,0.0009853743249550462,0.0012683047680184245,0.0009480820735916495,0.0019483740907162428,0.0033874332439154387,0.015232780016958714,0.00021824617579113692
Image_33,n01443537,"goldfish, Carassius auratus",n01945685,slug,0.008253954350948334,0.00696453545242548,0.005438772961497307,0.007148600183427334,0.008088342845439911,0.0032571740448474884,0.0012627075193449855,0.0007516434998251498,0.0007363384356722236,0.0014066548319533467,0.003460480133071542,0.003215506672859192
Image_34,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006424154853448272,0.0006095516146160662,0.0008361877989955246,0.0005101393908262253,0.0009659967618063092,0.0011914578499272466,0.0023249227087944746,0.0017786965472623706,0.0036154878325760365,0.00478149950504303,0.012415976263582706,0.016332313418388367
Image_35,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.0006435477989725769,0.0005488754250109196,0.00026794904260896146,0.0007022811914794147,0.000650090049020946,0.00043789067422039807,0.000685842998791486,0.0003159980697091669,0.0004258700937498361,0.00019367632921785116,0.0013561215018853545,0.03329981118440628
Image_36,n01443537,"goldfish, Carassius auratus",n04456115,torch,0.09567444026470184,0.09624738246202469,0.07715918123722076,0.04782781004905701,0.07304960489273071,0.11483430117368698,0.12674640119075775,0.1525757759809494,0.11038529127836227,0.13552598655223846,0.13317322731018066,0.001360856695100665
Image_37,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006896430859342217,0.0005956205422990024,0.000819702516309917,0.0004835312720388174,0.0009167945827357471,0.000726875732652843,0.0012743568513542414,0.0010461935307830572,0.001957300119102001,0.003289927262812853,0.01534617505967617,0.010694338008761406
Image_38,n01443537,"goldfish, Carassius auratus",n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",1.2491169627537602e-06,1.7893844415084459e-06,2.0734801182697993e-06,1.5218246289805393e-06,2.340619630558649e-06,2.024468358285958e-06,4.159643140155822e-06,7.383999218291137e-06,1.5067747654029517e-06,3.1251788641384337e-06,1.853122557804454e-05,0.07582491636276245
Image_39,n01443537,"goldfish, Carassius auratus",n01950731,"sea slug, nudibranch",4.6894047672774164e-11,1.7255658013581865e-10,1.4960722938273108e-10,2.5729335328961156e-10,8.797263473248051e-10,1.5239117745480257e-09,6.2569083247865365e-09,9.10330477665866e-09,9.670564793395897e-09,1.6474167807700724e-08,2.031322452467066e-07,0.0007271033828146756
Image_40,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02475045435130596,0.023048484697937965,0.02418636716902256,0.02534620836377144,0.017469093203544617,0.024393785744905472,0.036878250539302826,0.03177627921104431,0.028420783579349518,0.018205316737294197,0.021148044615983963,0.08106762170791626
Image_41,n01443537,"goldfish, Carassius auratus",n04456115,torch,0.09333500266075134,0.10270721465349197,0.08817458897829056,0.05414007976651192,0.08395779132843018,0.12620952725410461,0.14246338605880737,0.18238356709480286,0.10568004846572876,0.17390678822994232,0.13431262969970703,0.036559097468853
Image_42,n01443537,"goldfish, Carassius auratus",n04398044,teapot,0.007257956545799971,0.008638405241072178,0.00820823386311531,0.007066493853926659,0.006628287490457296,0.005604871548712254,0.008598222397267818,0.008870023302733898,0.010390722192823887,0.00986434891819954,0.038681164383888245,0.0022444010246545076
Image_43,n01443537,"goldfish, Carassius auratus",n03980874,poncho,0.009427345357835293,0.009215762838721275,0.01022683922201395,0.007856287062168121,0.011678296141326427,0.006839285138994455,0.006953863427042961,0.010025355033576488,0.006645724177360535,0.010901284404098988,0.010937628336250782,0.00027935567777603865
Image_44,n01443537,"goldfish, Carassius auratus",n02948072,"candle, taper, wax light",9.575556759955361e-06,1.7308613678324036e-05,2.4083114112727344e-05,4.7561421524733305e-05,8.568177145207301e-05,7.542417733930051e-05,9.807884634938091e-05,0.00013041708734817803,5.1800736400764436e-05,8.412840543314815e-05,0.00021650739654432982,0.06545145809650421
Image_45,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0007147399592213333,0.0006193392910063267,0.0008121826103888452,0.00043155954335816205,0.0009188671829178929,0.0012586117954924703,0.0019036444136872888,0.0010154088959097862,0.002784768585115671,0.004223454277962446,0.020017899572849274,0.004713562782853842
Image_46,n01443537,"goldfish, Carassius auratus",n03980874,poncho,0.009200234897434711,0.009128770790994167,0.010461850091814995,0.00813386868685484,0.011988775804638863,0.007697264198213816,0.008779591880738735,0.00937581155449152,0.007182219531387091,0.015144585631787777,0.014054636470973492,0.0004537255153991282
Image_47,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.027958497405052185,0.02441505528986454,0.028090139850974083,0.026775863021612167,0.017765343189239502,0.020306535065174103,0.03207625448703766,0.030867716297507286,0.028854908421635628,0.022162405773997307,0.019218945875763893,0.004209495149552822
Image_48,n01443537,"goldfish, Carassius auratus",n02815834,beaker,0.0005716722225770354,0.0005238835583440959,0.00033871596679091454,0.0008222153992392123,0.0005885224672965705,0.0002634542470332235,0.00033956769038923085,0.00020631424558814615,0.00033588841324672103,0.00038682809099555016,0.0021762100514024496,0.01589682698249817
Image_49,n01443537,"goldfish, Carassius auratus",n02909870,"bucket, pail",0.0031321891583502293,0.004973004572093487,0.005457685329020023,0.005483598913997412,0.006363205146044493,0.003127054078504443,0.0027949351351708174,0.0016369338845834136,0.002816086867824197,0.0029678407590836287,0.008248938247561455,0.0004696046526078135
Image_50,n01443537,"goldfish, Carassius auratus",n04251144,snorkel,0.0006428693304769695,0.0005588959902524948,0.0008174729882739484,0.0005052799242548645,0.0011026825523003936,0.000916352728381753,0.0016036812448874116,0.0011162544833496213,0.0028465280774980783,0.003919654991477728,0.023771002888679504,0.0008413596078753471
Image_51,n01629819,"European fire salamander, Salamandra salamandra",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",5.2837822295259684e-06,8.330607670359313e-06,1.9510905985953286e-05,1.6499221601407044e-05,3.3152457035612315e-05,7.834302959963679e-05,0.0002387540735071525,9.328974556410685e-05,7.997338252607733e-05,9.518855949863791e-05,0.0005844379193149507,0.008839384652674198
Image_52,n01629819,"European fire salamander, Salamandra salamandra",n02321529,"sea cucumber, holothurian",2.9284583433764055e-06,1.3689636034541763e-05,6.357510756060947e-06,3.6217998058418743e-06,1.2357083505776245e-05,1.667944889049977e-05,1.761517887644004e-05,1.3103714991302695e-05,1.2863239135185722e-05,1.7280106476391666e-05,0.00013495798339135945,0.0003717803047038615
Image_53,n01629819,"European fire salamander, Salamandra salamandra",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.6276345604637754e-07,2.602461108835996e-07,1.786835639450146e-07,2.491092345735524e-07,8.5901478996675e-07,8.126253874252143e-07,6.200205916684354e-06,2.7754056191042764e-06,2.828518972819438e-06,5.5478849390055984e-06,8.771774446358904e-05,0.10304604470729828
Image_54,n01629819,"European fire salamander, Salamandra salamandra",n01770393,scorpion,0.007004550192505121,0.0034451051615178585,0.00389308063313365,0.00620196433737874,0.005967689678072929,0.00553743913769722,0.004758971277624369,0.007974712178111076,0.008742439560592175,0.01826874539256096,0.048575714230537415,0.00033409366733394563
Image_55,n01629819,"European fire salamander, Salamandra salamandra",n01944390,snail,0.0009152711136266589,0.0011036292416974902,0.001013005618005991,0.0016500685596838593,0.0017372218426316977,0.0016595337074249983,0.0014676114078611135,0.0008761052158661187,0.0012606942327693105,0.0016354236286133528,0.002552508609369397,0.046413354575634
Image_56,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",9.064898767974228e-05,0.00011199006985407323,0.00010159599332837388,8.100874401861802e-05,0.00023965553555171937,0.0004776395217049867,0.0011627058265730739,0.000499844434671104,0.0002266888041049242,0.0007093981257639825,0.0017020264640450478,0.0017712931148707867
Image_57,n01629819,"European fire salamander, Salamandra salamandra",n03992509,potter's wheel,0.0001232086942763999,0.00038547703297808766,0.00038393420982174575,0.0003617194597609341,0.0005460952525027096,0.0007437836611643434,0.0008154717506840825,0.0007552258903160691,0.002413894282653928,0.0015289782313629985,0.001780761987902224,0.05482977628707886
Image_58,n01629819,"European fire salamander, Salamandra salamandra",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.6594610485753947e-07,2.649498185292032e-07,2.2654508313735278e-07,3.670670025712752e-07,1.6477000599479652e-06,1.8296387906957534e-06,8.058569619606715e-06,6.159674740047194e-06,8.613296813564375e-06,8.120693564706016e-06,1.5758370864205062e-05,0.004727925173938274
Image_59,n01629819,"European fire salamander, Salamandra salamandra",n01698640,"American alligator, Alligator mississipiensis",2.1663799643079074e-08,9.141299273096593e-09,3.93485155569806e-09,5.55020562842401e-09,9.892015206958149e-09,2.359539763574503e-08,1.3090860306874674e-07,1.5195585945093626e-07,1.9688225449954189e-07,4.599586418407853e-07,5.291866273182677e-06,0.001785383210517466
Image_60,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.4095614864781965e-07,4.589135755850293e-07,5.661079853780393e-07,8.69618816068396e-07,2.6685415832616854e-06,2.396975560259307e-06,3.974957053287653e-06,2.2219560378289316e-06,1.927951416291762e-06,4.756019279739121e-06,0.00017526042938698083,0.06263206899166107
Image_61,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.654412807918561e-07,4.1977111209234863e-07,5.398894700192614e-07,8.355700629181229e-07,2.352510136915953e-06,2.3756940663588466e-06,2.9015375275776023e-06,1.2458059472919558e-06,1.0387090014774003e-06,1.2546446441774606e-06,1.0225857295154128e-05,0.018074406310915947
Image_62,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",4.2317856241425034e-07,4.98861595588096e-07,6.569961783498002e-07,1.0664977025953704e-06,2.2064564291213173e-06,2.345802840864053e-06,3.758833145184326e-06,2.08318624572712e-06,1.30001444631489e-06,2.8352517347229877e-06,4.5410284656099975e-05,0.00035952756297774613
Image_63,n01629819,"European fire salamander, Salamandra salamandra",n01945685,slug,0.007292137481272221,0.006318764295428991,0.005451760720461607,0.006566266529262066,0.007821498438715935,0.004139862023293972,0.0018697218038141727,0.001389998127706349,0.0011542598949745297,0.0021889558993279934,0.0031364839524030685,0.010655460879206657
Image_64,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.966609085637174e-07,5.363453396967088e-07,7.005680231486622e-07,1.2062240557497717e-06,2.952235718112206e-06,2.6429383979120757e-06,3.3058133794838795e-06,1.8262886669617728e-06,1.3263726259538089e-06,1.7644549643591745e-06,9.348524145025294e-06,0.04052576422691345
Image_65,n01629819,"European fire salamander, Salamandra salamandra",n02281406,"sulphur butterfly, sulfur butterfly",2.0632011654697635e-08,1.780916392135623e-08,1.0372417591497651e-08,1.346252975764628e-08,2.7890425968735144e-08,1.0297546992887874e-07,7.297026627384184e-07,3.046824588182062e-07,2.3743596955227986e-07,2.6354618398727325e-07,8.642641660117079e-07,0.008141943253576756
Image_66,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.2173502972909773e-07,3.9899700254864e-07,6.115371888881782e-07,9.504030913376482e-07,1.6260056554529e-06,2.6545903892838396e-06,5.184825567994267e-06,2.506353439457598e-06,1.8093761582349543e-06,1.9215826796425972e-06,1.1458051631052513e-05,0.004111443180590868
Image_67,n01629819,"European fire salamander, Salamandra salamandra",n01770393,scorpion,0.005983804352581501,0.003134300699457526,0.0033105132170021534,0.005641002673655748,0.0053668273612856865,0.005533955991268158,0.006215606816112995,0.007740899454802275,0.008508414030075073,0.01704048365354538,0.02987866848707199,0.0015925426268950105
Image_68,n01629819,"European fire salamander, Salamandra salamandra",n01770393,scorpion,0.007579786237329245,0.004150127526372671,0.004459376912564039,0.007533390540629625,0.007246865890920162,0.0074510592967271805,0.008417660370469093,0.009706574492156506,0.013284953311085701,0.02454129233956337,0.03587337210774422,0.0007998651708476245
Image_69,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",4.05566424888093e-07,5.113073484608321e-07,5.934178375355259e-07,1.0613402992021292e-06,2.5054021079995437e-06,2.853965725080343e-06,6.691087492072256e-06,3.6581261610990623e-06,1.619154318177607e-06,6.144355211290531e-06,3.5869401472155005e-05,0.003852857742458582
Image_70,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.649016946383199e-07,4.996260258849361e-07,5.427554015113856e-07,1.0187110319748172e-06,3.2079492484626826e-06,4.400860689202091e-06,5.040087671659421e-06,4.339987299317727e-06,2.0233442228345666e-06,4.210568476992194e-06,0.0001120872184401378,0.0013035432202741504
Image_71,n01629819,"European fire salamander, Salamandra salamandra",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.6428276694568922e-07,2.555626394951105e-07,2.0247206578005716e-07,2.3482040489852807e-07,1.034976889968675e-06,1.785501922313415e-06,9.731180398375727e-06,7.3570868153183255e-06,5.642346422973787e-06,1.4914257008058485e-05,0.00013451225822791457,4.2193030822090805e-05
Image_72,n01629819,"European fire salamander, Salamandra salamandra",n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",1.0117246596053064e-08,9.541928136513889e-09,7.119272282807287e-09,4.1842693754290394e-09,1.7667508345198257e-08,2.8978414334801528e-08,5.0998774980826056e-08,5.0375874138808285e-08,6.969897015096649e-08,2.0219407304011838e-07,8.925818519855966e-07,0.0015273242024704814
Image_73,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.2109713288264174e-07,4.315508022045833e-07,4.85335988287261e-07,6.704118504785583e-07,1.4331744750961661e-06,1.7861465266832965e-06,5.752781817136565e-06,3.16493628815806e-06,1.71176088770153e-06,2.641779701662017e-06,8.322446956299245e-05,0.015289940871298313
Image_74,n01629819,"European fire salamander, Salamandra salamandra",n03388043,fountain,0.0011484110727906227,0.0015462833689525723,0.0011437247740104795,0.0011635898845270276,0.001076967571862042,0.0008688392699696124,0.0007799280574545264,0.0018512746319174767,0.004155492875725031,0.0025012162514030933,0.008962665684521198,0.05266975611448288
Image_75,n01629819,"European fire salamander, Salamandra salamandra",n02226429,"grasshopper, hopper",0.0015187603421509266,0.0016987791750580072,0.0011271749390289187,0.0011215230915695429,0.0018838432151824236,0.0009299579542130232,0.002243705792352557,0.0018108495278283954,0.0018330730963498354,0.002840070053935051,0.0041934833861887455,0.02172774076461792
Image_76,n01629819,"European fire salamander, Salamandra salamandra",n03983396,"pop bottle, soda bottle",1.5434239685419016e-05,1.5333836927311495e-05,1.610996878298465e-05,2.6598294425639324e-05,2.0880654119537212e-05,1.690900171524845e-05,8.718157005205285e-06,1.213623363582883e-05,1.6852631233632565e-05,3.078963709413074e-05,9.441970905754715e-05,0.050611525774002075
Image_77,n01629819,"European fire salamander, Salamandra salamandra",n01784675,centipede,0.004815070889890194,0.005969181191176176,0.00361629412509501,0.003136109560728073,0.007981723174452782,0.011325704865157604,0.008901306428015232,0.006910234689712524,0.004540822468698025,0.004447871819138527,0.007389525882899761,0.0341125912964344
Image_78,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",8.527484169462696e-05,0.00011032092152163386,0.00010516372276470065,8.14425729913637e-05,0.0002760362403932959,0.0004951314767822623,0.00113207777030766,0.0005346427788026631,0.00023001707450021058,0.00045489263720810413,0.0007545950938947499,0.000398539996240288
Image_79,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.855850252421078e-07,5.356835686143313e-07,6.154808716019033e-07,1.037575884765829e-06,3.0046737720113015e-06,1.9419023828959325e-06,3.751882559299702e-06,2.099929133692058e-06,1.601656322236522e-06,3.050745135624311e-06,8.938818791648373e-05,0.00026373518630862236
Image_80,n01629819,"European fire salamander, Salamandra salamandra",n01698640,"American alligator, Alligator mississipiensis",1.83756139193747e-08,8.312662558296324e-09,2.9582702953945272e-09,4.1189252009132815e-09,7.595633455537154e-09,1.3024537892647459e-08,6.004174935014817e-08,8.491442571312291e-08,1.2699213414180122e-07,3.012625882092834e-07,1.6159691540451604e-06,0.00635524233803153
Image_81,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.712172258474311e-07,4.871378109783109e-07,6.252715820664889e-07,1.2328819138929248e-06,2.931282097051735e-06,3.2893526622501668e-06,4.016468210465973e-06,3.387720198588795e-06,2.71922476713371e-06,3.9646583900321275e-06,2.40920180658577e-05,0.02738993614912033
Image_82,n01629819,"European fire salamander, Salamandra salamandra",n01742172,"boa constrictor, Constrictor constrictor",0.0002265159710077569,0.0005210076924413443,0.0004967526183463633,0.000353495852323249,0.0006692778551951051,0.0010827378137037158,0.002677184296771884,0.0009259740472771227,0.0007786870119161904,0.0006348451715894043,0.005317165516316891,0.08995338529348373
Image_83,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",3.500850027648994e-07,3.8691678128088824e-07,4.956692123414541e-07,7.570355933239625e-07,1.5154422499108477e-06,1.4296282415671158e-06,2.4237233446910977e-06,1.2923128451802768e-06,1.4407160051632673e-06,2.045169139819336e-06,9.059755939233582e-06,0.03273385763168335
