Image,True_WNID,True_Label,Random_WNID,Random_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_11,n01443537,"goldfish, Carassius auratus",n02769748,"backpack, back pack, knapsack, packsack, rucksack, haversack",2.8759035558323376e-05,8.175014227163047e-05,0.010267007164657116,0.0010250585619360209,6.627779657719657e-05,9.281548409489915e-05,3.5176290111849084e-05,0.00023838484776206315,0.006317990832030773,1.575009991938714e-05,0.0005345741519704461,8.827365672914311e-05
Image_12,n01443537,"goldfish, Carassius auratus",n03796401,moving van,0.0001085424009943381,3.431351069593802e-05,0.00023566246090922505,0.0016448561800643802,0.002773673739284277,0.012568114325404167,0.00030102877644822,0.0051746005192399025,0.005093294195830822,2.560917664595763e-07,2.4609766114735976e-05,2.462347038090229e-05
Image_13,n01443537,"goldfish, Carassius auratus",n04532670,viaduct,9.854231393546797e-06,0.0003311153268441558,1.8126884242519736e-05,0.0016602680552750826,0.010531127452850342,0.012506476603448391,0.011806892231106758,7.1898848545970395e-06,0.0009731153259053826,1.9293217974336585e-06,8.113073768356571e-09,2.6511877138091222e-09
Image_14,n01443537,"goldfish, Carassius auratus",n04149813,scoreboard,0.009039168246090412,8.56417045724811e-06,0.0007757972343824804,8.87510395841673e-05,0.00015856768004596233,3.5621484130388126e-05,0.00046708653098903596,0.0038582601118832827,0.00011561514111235738,0.0014781448990106583,2.163247700082138e-06,3.680505324155092e-05
Image_15,n01443537,"goldfish, Carassius auratus",n02843684,birdhouse,0.0019225042778998613,0.001466461457312107,1.4465438653132878e-05,0.001403822097927332,0.00013467794633470476,0.001146066002547741,0.0005337916081771255,0.004705216269940138,0.004215373191982508,8.818663445708808e-06,7.272725754958742e-10,6.589590539896051e-10
Image_16,n01443537,"goldfish, Carassius auratus",n02906734,broom,0.0026923208497464657,0.00015740255184937268,0.016579914838075638,0.00034156820038333535,0.007616432849317789,0.0029905468691140413,0.004720831289887428,0.0009140560869127512,0.0001728982024360448,1.3532030607166234e-06,1.4617698980146088e-05,1.908916829052032e-07
Image_17,n01443537,"goldfish, Carassius auratus",n03637318,"lampshade, lamp shade",9.469586075283587e-05,3.4148750273743644e-05,0.0002053350763162598,6.550031685037538e-05,0.007263086270540953,0.00011858882498927414,8.966604218585417e-05,0.00011479760723887011,0.0009331707842648029,4.118913693673676e-06,5.436090214061551e-05,4.0835700929164886e-05
Image_18,n01443537,"goldfish, Carassius auratus",n07749582,lemon,0.001027952297590673,0.004127173684537411,0.01092441938817501,2.4615803340566345e-05,5.8062923926627263e-05,0.00036948928027413785,0.0018264702521264553,0.0024675040040165186,3.713384649017826e-05,1.4150497918308247e-05,1.7786992145829572e-07,2.666213276825147e-07
Image_19,n01443537,"goldfish, Carassius auratus",n01768244,trilobite,0.0001239928969880566,0.00028396444395184517,0.01601937599480152,1.5159914255491458e-05,0.0013315165415406227,0.0007685553864575922,0.008383066393435001,0.0021317817736417055,0.00010751648369478062,5.806565241073258e-05,4.361233550298493e-06,1.0784595616541992e-07
Image_20,n01443537,"goldfish, Carassius auratus",n09256479,coral reef,5.656200414705381e-07,3.6845241993432865e-05,1.3010945622227155e-05,0.0045997085981070995,0.006108418107032776,0.002139178104698658,0.0032473509199917316,0.003079782472923398,0.0020913430489599705,2.3562608475913294e-05,0.0001576416689204052,8.67649941937998e-05
Image_21,n01443537,"goldfish, Carassius auratus",n01944390,snail,8.015371713554487e-05,0.0012522300239652395,0.0005591670051217079,6.392971408786252e-05,0.002936585573479533,0.007528418209403753,0.00037204072577878833,0.01030637975782156,0.0006540366448462009,9.962093463400379e-05,6.353636763378745e-07,0.003823877079412341
Image_22,n01443537,"goldfish, Carassius auratus",n03937543,pill bottle,0.0009890126530081034,0.003343523247167468,0.0002998431446030736,0.0005934147047810256,0.0001219951082020998,0.0008718977333046496,0.0006632103468291461,0.0003982989874202758,0.005687851458787918,0.0006775321089662611,2.4699954792595236e-07,1.683934169705026e-05
Image_23,n01443537,"goldfish, Carassius auratus",n09428293,"seashore, coast, seacoast, sea-coast",2.4772805772954598e-05,0.00010164274135604501,0.0004990246961824596,0.00017150618077721447,1.5940586308715865e-05,0.00442781625315547,0.012652628123760223,0.007180059794336557,0.00014963267312850803,1.0842095434782095e-06,1.8446980902808718e-06,1.602510383236222e-05
Image_24,n01443537,"goldfish, Carassius auratus",n04487081,"trolleybus, trolley coach, trackless trolley",1.7780740790840355e-06,0.0011043613776564598,7.496530452044681e-05,7.884416118031368e-05,0.0032632979564368725,0.002438492840155959,0.03824799135327339,0.036537863314151764,0.0014194428222253919,0.0022479367908090353,9.698717349237995e-07,3.2519740216230275e-06
Image_25,n01443537,"goldfish, Carassius auratus",n02999410,chain,0.00033600159804336727,0.00016377976862713695,5.565961328102276e-05,0.00017089287575799972,0.004072542767971754,0.0016829808009788394,0.00021179420582484454,0.0002587533963378519,0.0005542513099499047,6.551132537424564e-05,3.495598502922803e-05,9.62258828174356e-10
Image_26,n01443537,"goldfish, Carassius auratus",n04465501,tractor,0.0192882027477026,0.0004569190787151456,0.015373818576335907,0.0007573281764052808,9.183836664306e-05,0.0053329383954405785,5.850802699569613e-05,0.00010840536560863256,0.0001574908965267241,0.00041712811798788607,0.006262890063226223,2.1484879653144162e-06
Image_27,n01443537,"goldfish, Carassius auratus",n02123045,"tabby, tabby cat",0.000392649119021371,0.00020110268087591976,0.0047644805163145065,0.0018519230652600527,0.00018258191994391382,0.00692665996029973,0.0002185968478443101,7.81345515861176e-05,0.02195388451218605,1.0382758830473904e-07,3.5265031783637824e-08,1.5252223874995252e-06
Image_28,n01443537,"goldfish, Carassius auratus",n01983481,"American lobster, Northern lobster, Maine lobster, Homarus americanus",0.00021991493122186512,0.0008742716163396835,0.0006454357644543052,2.1169149476918392e-05,0.0001916136097861454,0.0007053987355902791,0.003545344341546297,0.000936942407861352,0.00014236244896892458,0.28734132647514343,1.9297706543852655e-08,0.0003629930433817208
Image_29,n01443537,"goldfish, Carassius auratus",n03837869,obelisk,0.0047723292373120785,2.8561205908772536e-05,1.5357501979451627e-05,0.0011109403567388654,0.0008126157335937023,0.000802663853392005,0.0003685460251290351,0.008569260127842426,0.0023836714681237936,1.2657181969188969e-06,3.797872949462544e-08,7.975038962548808e-10
Image_30,n01443537,"goldfish, Carassius auratus",n01945685,slug,0.026257067918777466,0.0015206672251224518,5.4208994697546586e-05,0.0016515024472028017,0.00010294020466972142,4.30125292041339e-05,0.005550145637243986,0.00013106346887070686,0.00013255585508886725,6.629702511418145e-06,0.002643867628648877,2.650427632033825e-05
Image_31,n01443537,"goldfish, Carassius auratus",n01698640,"American alligator, Alligator mississipiensis",0.008455810137093067,0.016384659335017204,9.227793634636328e-05,0.0007445899536833167,0.011456338688731194,0.0021191583946347237,0.0037373099476099014,0.002716893097385764,3.2779887987999246e-05,2.6105793949682266e-05,0.00015010709466878325,7.565419082311564e-07
Image_32,n01443537,"goldfish, Carassius auratus",n02085620,Chihuahua,0.0005553010851144791,0.002189980586990714,0.00011212695244466886,0.013361087068915367,4.705370156443678e-05,0.017410680651664734,0.013849860057234764,0.0038936983328312635,1.810878711694386e-05,0.00013903441140428185,0.014261269010603428,3.085159187321551e-05
Image_33,n01443537,"goldfish, Carassius auratus",n07720875,bell pepper,0.0003686156414914876,6.02452528255526e-05,0.03823544457554817,3.666288830572739e-05,0.00041758004226721823,0.001327842241153121,0.004570135846734047,0.004515446722507477,0.0021586192306131124,1.7410239934179117e-06,1.680371175538653e-09,8.008426448213868e-06
Image_34,n01443537,"goldfish, Carassius auratus",n02190166,fly,5.1526665629353374e-05,0.002201230265200138,4.1066366975428537e-05,0.0004240872513037175,0.0015325270360335708,0.002363740699365735,0.0003133365244138986,3.847661355393939e-05,0.00012496259296312928,1.7944006685866043e-05,0.0004372670082375407,4.0827682823874056e-05
Image_35,n01443537,"goldfish, Carassius auratus",n02814860,"beacon, lighthouse, beacon light, pharos",0.00031497064628638327,0.03441386669874191,0.000796533131506294,0.00010154661868000403,0.00634173396974802,9.5059122031671e-06,6.288885924732313e-05,0.0031574764288961887,0.0016469659749418497,6.106084526891209e-08,9.274059266317636e-06,1.4509902939607855e-05
Image_36,n01443537,"goldfish, Carassius auratus",n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",0.00013574161857832223,0.00195042893756181,0.0005235425778664649,0.0003503258340060711,0.008646312169730663,0.0005875207716599107,0.010347599163651466,0.04266856610774994,1.799848905648105e-05,1.2994782991881948e-05,0.0005061752744950354,3.836768058818052e-08
Image_37,n01443537,"goldfish, Carassius auratus",n02058221,"albatross, mollymawk",0.2981989085674286,0.0015009756898507476,0.01612665317952633,0.002319814171642065,0.0005010926397517323,0.0018706484697759151,0.0004528576391749084,0.0017528323223814368,0.0004759574949275702,5.729549957322888e-05,9.426546512258938e-07,1.2140806582294772e-08
Image_38,n01443537,"goldfish, Carassius auratus",n03891332,parking meter,0.000172383151948452,0.00012525545025710016,0.0016971278237178922,0.0007356859277933836,0.0006108962115831673,9.343284909846261e-05,4.830060061067343e-05,0.000447550235548988,0.00025646702852100134,2.2512394934892654e-06,3.6347153127280762e-06,7.559326149930712e-06
Image_39,n01443537,"goldfish, Carassius auratus",n04532670,viaduct,0.00013935909373685718,5.7110337365884334e-05,0.005781214684247971,0.02315698377788067,0.06513531506061554,0.004384842701256275,0.0015095074195414782,0.0002693310962058604,0.0007757276762276888,3.555865532689495e-06,6.703389954054728e-05,7.103666916918883e-07
Image_40,n01443537,"goldfish, Carassius auratus",n01768244,trilobite,0.0002564691531006247,0.028677944093942642,5.164331378182396e-05,0.0006288023432716727,0.0002668726956471801,0.0022802462335675955,0.0023575543891638517,0.0009786015143617988,0.0003428274649195373,9.590367699274793e-05,5.142788417344946e-09,9.277994905687592e-08
Image_41,n01443537,"goldfish, Carassius auratus",n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.000535580504219979,0.0017292376141995192,0.0008423594408668578,0.0005687096854671836,0.0003596479946281761,0.0006324189598672092,0.0038975090719759464,7.719593122601509e-05,0.00023792819411028177,5.6072862207656726e-05,2.0831963411183096e-05,9.488585783401504e-05
Image_42,n01443537,"goldfish, Carassius auratus",n04371430,"swimming trunks, bathing trunks",0.000103430611488875,0.0001041558789438568,0.0004668806213885546,0.002811602083966136,4.390358299133368e-05,0.007748451083898544,0.0043556117452681065,0.00033021450508385897,0.00018396713130641729,4.816938847795882e-09,7.509315764764324e-05,0.0015845401212573051
Image_43,n01443537,"goldfish, Carassius auratus",n03085013,"computer keyboard, keypad",9.841173778113443e-06,0.0032938870135694742,0.0014055136125534773,2.6988922400050797e-05,0.00021534398547373712,0.003636945504695177,0.002008910523727536,0.0005785280955024064,0.04886070638895035,2.2100883143139072e-05,4.531798936113773e-09,6.051262602113638e-08
Image_44,n01443537,"goldfish, Carassius auratus",n04149813,scoreboard,0.00013418942398857325,0.001549376524053514,4.2815841879928485e-05,0.0003773558128159493,0.015204205177724361,0.009416358545422554,0.0023422613739967346,0.0014232700923457742,0.0021637878380715847,2.017667952713964e-07,0.00037846973282285035,8.342637869418468e-08
Image_45,n01443537,"goldfish, Carassius auratus",n04398044,teapot,0.009514855220913887,8.659139712108299e-05,0.000504245632328093,3.624610326369293e-05,0.00015944371989462525,0.0004755899717565626,7.272913353517652e-05,9.68667518463917e-06,0.0086669921875,9.685047552920878e-05,7.05669633838113e-10,1.8946548774323446e-09
Image_46,n01443537,"goldfish, Carassius auratus",n03100240,convertible,0.00016798106662463397,0.010049022734165192,0.0287427119910717,0.000502920534927398,5.6878569012042135e-05,0.0035131587646901608,0.035733722150325775,0.019377082586288452,0.023411763831973076,1.9438872186583467e-05,7.598181127832504e-06,1.7555301656813072e-10
Image_47,n01443537,"goldfish, Carassius auratus",n02099601,golden retriever,6.22897778157494e-06,0.005407476332038641,4.8871377657633275e-05,0.005200726445764303,0.0007447458920069039,0.0005626372876577079,5.841689198859967e-05,3.4106542443623766e-05,6.34152747807093e-05,7.868679676903412e-05,1.3492731909536815e-07,7.65496679377975e-06
Image_48,n01443537,"goldfish, Carassius auratus",n04376876,syringe,4.618880120688118e-05,0.0006978531018830836,0.0003800421254709363,1.2325540410529356e-05,0.00013626560394186527,0.00019371301459614187,0.10897602140903473,0.000695156748406589,0.006062021013349295,0.45531055331230164,1.0758908501884434e-06,1.9480958144413307e-06
Image_49,n01443537,"goldfish, Carassius auratus",n07749582,lemon,0.0002904599532485008,4.418352909851819e-05,0.0015234531601890922,0.0011028471635654569,0.0007891090936027467,0.00026076927315443754,0.000315288983983919,0.00010164508421439677,0.0009424322051927447,0.0004622186243068427,5.798631264042342e-06,6.456403207266703e-05
Image_50,n01443537,"goldfish, Carassius auratus",n03014705,chest,3.1421921448782086e-05,4.9907299398910254e-05,0.16980499029159546,0.00014972267672419548,0.004711479879915714,0.0008128202171064913,6.363998636516044e-06,0.007105029188096523,0.0007588783628307283,4.636175532368725e-08,1.9287096364450917e-08,1.1979742753354117e-09
Image_51,n01629819,"European fire salamander, Salamandra salamandra",n02123394,Persian cat,0.0004715888062492013,1.1985117453150451e-05,6.68631328153424e-05,0.0005955430679023266,5.4597127018496394e-05,0.009158192202448845,0.0006504226475954056,0.00022729697229806334,3.536406802595593e-05,1.0303639328412828e-06,1.2937994425810118e-11,3.3288394263308874e-10
Image_52,n01629819,"European fire salamander, Salamandra salamandra",n03992509,potter's wheel,9.35872012632899e-05,0.0007374966517090797,0.0008253854466602206,0.0004973429604433477,0.006895383819937706,7.346473466895986e-06,0.004077847581356764,0.00024274417955894023,0.00012719896039925516,9.477938078816806e-08,2.4184960700779357e-09,2.1820561850460773e-12
Image_53,n01629819,"European fire salamander, Salamandra salamandra",n03662601,lifeboat,0.00011937740782741457,3.510914393700659e-05,0.003523334627971053,9.992469131248072e-06,0.0002743194636423141,0.010992405004799366,0.01234341599047184,1.8850076230592094e-05,0.00013143086107447743,4.407831511343829e-06,3.700127138017706e-08,1.217517109353139e-07
Image_54,n01629819,"European fire salamander, Salamandra salamandra",n07579787,plate,0.0008677167352288961,1.3853752534487285e-05,0.0014265672070905566,0.0008876204374246299,5.3975341870682314e-05,0.004107179120182991,0.00021017620747443289,0.00012502545723691583,0.000562272674869746,1.228732435265556e-05,1.0535503633946064e-06,4.556888644202672e-09
Image_55,n01629819,"European fire salamander, Salamandra salamandra",n02788148,"bannister, banister, balustrade, balusters, handrail",0.0008645543130114675,0.0040269470773637295,0.0007244941662065685,6.636347825406119e-05,5.447359217214398e-05,0.004380551632493734,0.0006549059180542827,0.0008323951042257249,0.00988874863833189,0.0006057158461771905,4.808752578355779e-07,2.8674039143083974e-08
Image_56,n01629819,"European fire salamander, Salamandra salamandra",n02791270,barbershop,3.779770850087516e-05,9.732520084071439e-06,0.0014150404604151845,0.016234036535024643,3.8326281355693936e-05,3.9786948036635295e-05,0.009603623300790787,0.039350058883428574,0.002666105981916189,9.16537317152688e-08,0.00010992098395945504,1.0470482258995162e-08
Image_57,n01629819,"European fire salamander, Salamandra salamandra",n02963159,cardigan,0.0004225526936352253,0.00010559772636042908,0.0006982236518524587,0.008902635425329208,0.002648953115567565,0.0001407172967446968,0.0014055089559406042,0.0019480595365166664,0.051231928169727325,2.8877075237687677e-05,1.6610936654615216e-05,0.0006151084671728313
Image_58,n01629819,"European fire salamander, Salamandra salamandra",n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis",0.003820685902610421,0.0003041913150809705,0.00017764999938663095,0.0013909658882766962,0.00019275663362350315,0.015248803421854973,0.00044866028474643826,0.0016163309337571263,0.0001941454829648137,1.679935280662903e-06,4.4391730291692966e-09,3.3331440905948195e-12
Image_59,n01629819,"European fire salamander, Salamandra salamandra",n04596742,wok,0.008528832346200943,0.00011514443758642301,0.002397353993728757,0.00011618489952525124,0.001285524107515812,0.0011480706743896008,0.019007576629519463,0.002499647904187441,0.0008264684001915157,5.476863952935673e-05,1.2500127013481688e-06,3.135356863026573e-08
Image_60,n01629819,"European fire salamander, Salamandra salamandra",n04285008,"sports car, sport car",4.215710589505761e-07,0.0035090185701847076,3.0663875804748386e-05,9.615064482204616e-05,0.00013321479491423815,8.657255966681987e-05,0.0016828173538669944,0.001103732269257307,0.0006951784598641098,1.886936047412746e-07,1.6481722298067325e-07,6.56742777209729e-05
Image_61,n01629819,"European fire salamander, Salamandra salamandra",n04487081,"trolleybus, trolley coach, trackless trolley",0.0008241214090958238,0.0022340668365359306,0.0023282102774828672,0.0009414830710738897,0.0025806620251387358,0.0005004700506106019,4.8076068196678534e-05,0.00033787693246267736,4.562152025755495e-05,9.277885055780644e-07,3.752697921299841e-07,7.382596312055512e-09
Image_62,n01629819,"European fire salamander, Salamandra salamandra",n02129165,"lion, king of beasts, Panthera leo",0.00015225086826831102,4.637152233044617e-05,0.034444354474544525,9.846562170423567e-05,3.516245851642452e-05,0.008473359048366547,0.00012111155228922144,7.425131479976699e-05,0.00015238071500789374,3.466077941993717e-06,8.34223141954471e-12,5.68014060266242e-13
Image_63,n01629819,"European fire salamander, Salamandra salamandra",n04486054,triumphal arch,3.927145371562801e-05,0.0002737645118031651,0.0002922567364294082,0.011387323029339314,0.0777122899889946,0.0026690359227359295,0.0030588486697524786,0.00042518824920989573,0.001808769186027348,7.947741323732771e-06,1.3792271602142137e-05,6.451664091855491e-08
Image_64,n01629819,"European fire salamander, Salamandra salamandra",n02129165,"lion, king of beasts, Panthera leo",0.0012072916142642498,5.835995398228988e-05,0.00018164828361477703,0.0007318806019611657,0.00016177352517843246,0.0007525362889282405,0.00582173652946949,3.2594482036074623e-05,0.00013864581706002355,8.249020902439952e-05,1.039535675317893e-07,4.690018859387912e-11
Image_65,n01629819,"European fire salamander, Salamandra salamandra",n03980874,poncho,8.123268344206735e-06,0.0013017253950238228,0.00016666570445522666,0.0007501407526433468,6.133731949375942e-05,0.0005648080259561539,0.004567946773022413,0.016157012432813644,0.01740741916000843,1.148888622992672e-05,4.831184014619794e-06,4.823415104826534e-12
Image_66,n01629819,"European fire salamander, Salamandra salamandra",n07711569,mashed potato,0.0025494962465018034,0.002472135005518794,0.005487816408276558,5.7831468438962474e-05,0.0010715953540056944,0.00014603561430703849,0.003742102300748229,0.0028859153389930725,0.0007304113241843879,1.2116636582959472e-09,2.3292416884146405e-09,3.2658747234348695e-11
Image_67,n01629819,"European fire salamander, Salamandra salamandra",n03444034,go-kart,0.00014885269047226757,0.021325943991541862,0.0001026815953082405,0.000670700566843152,0.0038578081876039505,0.008771024644374847,4.271022044122219e-05,0.0008905072463676333,0.002016784157603979,2.986563458762248e-06,6.784297511330806e-06,2.1682730277916562e-08
Image_68,n01629819,"European fire salamander, Salamandra salamandra",n01641577,"bullfrog, Rana catesbeiana",1.1270484719716478e-05,0.00020358902111183852,0.13762210309505463,0.0012061833404004574,0.0013560166116803885,0.002529604360461235,0.000354204821633175,0.0019531268626451492,6.13013980910182e-05,0.003758120583370328,0.007484091445803642,1.0641216618978433e-07
Image_69,n01629819,"European fire salamander, Salamandra salamandra",n04023962,"punching bag, punch bag, punching ball, punchball",2.7601579404290533e-06,0.0007331377128139138,1.520930072729243e-05,0.0005286684609018266,0.0007507079862989485,0.0026605965103954077,0.012349770404398441,0.0016521802172064781,0.0029645536560565233,8.465104656352196e-06,4.272979640518315e-05,8.164754916606398e-08
Image_70,n01629819,"European fire salamander, Salamandra salamandra",n03599486,"jinrikisha, ricksha, rickshaw",2.0275932911317796e-05,0.00017188316269312054,0.0008640964515507221,0.02049751579761505,0.013113975524902344,0.00014660012675449252,0.0012100042076781392,0.0024879765696823597,3.1274918001145124e-05,1.0412370556878159e-06,8.184346711459511e-08,1.8012041858028738e-10
Image_71,n01629819,"European fire salamander, Salamandra salamandra",n02002724,"black stork, Ciconia nigra",6.014899190631695e-05,0.002174926921725273,0.0060489596799016,0.001810089685022831,0.0025683960411697626,5.1097442337777466e-05,0.006258253939449787,0.0038022734224796295,0.0006690826267004013,1.700252505543176e-05,3.4388678016306073e-10,1.7037703470279553e-09
Image_72,n01629819,"European fire salamander, Salamandra salamandra",n02988304,CD player,0.0007152555626817048,0.0010423620697110891,1.1662729775707703e-05,0.03776302933692932,0.02194199338555336,0.0008285942021757364,0.0001810346875572577,0.000609647948294878,0.0006988914683461189,2.05266736941212e-08,1.2327235898723643e-09,1.542676986154845e-09
Image_73,n01629819,"European fire salamander, Salamandra salamandra",n01443537,"goldfish, Carassius auratus",0.001005092286504805,0.00025615247432142496,4.300059663364664e-05,0.004221093375235796,3.9192455005832016e-05,0.0003621962678153068,0.001426006550900638,0.0014345129020512104,2.2583875761483796e-05,6.781497631891398e-06,7.334741147779766e-11,7.522513278956922e-09
Image_74,n01629819,"European fire salamander, Salamandra salamandra",n04376876,syringe,0.06228494271636009,5.362897354643792e-05,0.006746508181095123,0.0008295451407320797,9.87701496342197e-05,0.0007689313497394323,5.255225551081821e-05,0.0005465628928504884,0.00011821044608950615,5.306372622726485e-05,1.2107216207368765e-06,0.001035283668898046
Image_75,n01629819,"European fire salamander, Salamandra salamandra",n04501370,turnstile,0.015884365886449814,0.01922062411904335,0.0010617374209687114,0.024527287110686302,0.0033528099302202463,0.0008356788894161582,0.004813184030354023,4.141272802371532e-05,0.005832522176206112,9.691912964626681e-06,2.0173308712401194e-06,1.652296875709336e-11
Image_76,n01629819,"European fire salamander, Salamandra salamandra",n02106662,"German shepherd, German shepherd dog, German police dog, alsatian",4.852911388297798e-06,0.013495410792529583,3.47366658388637e-05,0.000829412485472858,0.0004212241037748754,0.00022153393365442753,0.012721056118607521,0.006295421626418829,4.131481546210125e-05,2.7110889277537353e-05,9.137369488598779e-06,1.236533535120543e-06
Image_77,n01629819,"European fire salamander, Salamandra salamandra",n04560804,water jug,9.24459018278867e-05,0.0008806869154796004,0.0032502254471182823,0.0009888301137834787,0.0012360125547274947,0.003977951593697071,0.09549379348754883,0.000576543330680579,0.0004297381092328578,3.0628734748461284e-07,2.712791546954918e-09,9.98634730464687e-10
Image_78,n01629819,"European fire salamander, Salamandra salamandra",n02190166,fly,3.8504334952449426e-05,0.004244226962327957,0.000785095093306154,0.00011442509276093915,0.004535357933491468,0.003442219691351056,0.0028992232400923967,0.0001578207447892055,0.0013197979424148798,2.4871433801365583e-09,9.989434168744538e-09,4.4301748403086094e-07
Image_79,n01629819,"European fire salamander, Salamandra salamandra",n02795169,"barrel, cask",0.00024544246844016016,9.9523167591542e-05,0.0011211433447897434,0.0018182365456596017,0.0002083906001644209,3.322782140458003e-05,0.005918249953538179,0.00019591957970988005,0.002553167985752225,5.979492016194854e-06,5.246671541669912e-09,4.6057905753182915e-12
Image_80,n01629819,"European fire salamander, Salamandra salamandra",n07615774,"ice lolly, lolly, lollipop, popsicle",0.00023743556812405586,2.4953165848273784e-05,0.00022927584359422326,0.004885293543338776,0.0009097272995859385,0.001944102463312447,0.0001723977766232565,2.6923115001409315e-05,5.056078589404933e-05,0.002187267178669572,0.0004231865459587425,1.4998904895868748e-11
Image_81,n01629819,"European fire salamander, Salamandra salamandra",n02843684,birdhouse,8.21756329969503e-05,0.025219282135367393,0.0006105635548010468,0.00013691672938875854,0.0017409140709787607,0.006139106582850218,0.058781836181879044,0.0068146162666380405,5.532691648113541e-05,2.3615586997038918e-06,1.1405512090334469e-09,4.5450324392959374e-08
Image_82,n01629819,"European fire salamander, Salamandra salamandra",n03085013,"computer keyboard, keypad",0.0007211263291537762,0.0009882183512672782,5.1331935537746176e-05,0.012715277262032032,0.00024346308782696724,0.00018939336587209255,0.006205820478498936,0.00814857054501772,0.005062227603048086,4.13690770528774e-07,7.47189545791116e-08,8.091740255622426e-07
Image_83,n01629819,"European fire salamander, Salamandra salamandra",n07579787,plate,0.0005142091540619731,0.00034266620059497654,0.0029338914901018143,8.217409049393609e-05,0.0002479127433616668,0.0030923590529710054,0.00023016572231426835,0.0010802806355059147,0.020485499873757362,0.00018873905355576426,0.0001014007575577125,0.0013640455435961485
Image_84,n01629819,"European fire salamander, Salamandra salamandra",n01945685,slug,3.67850334441755e-05,0.0007186222937889397,0.00018828311294782907,0.0011103141587227583,0.0001189071117551066,0.25028806924819946,0.0005422902759164572,0.0009286560234613717,0.0030751503072679043,1.2349543609957436e-08,3.8099499249932833e-11,0.00013913516886532307
