Image,True_WNID,True_Label,Last_Top1_WNID,Last_Top1_Label,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11
Image_19,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.382344900998874e-10,1.8617787311825396e-09,1.0973826292115518e-09,2.2049164716264613e-09,1.033391860971733e-08,5.399403146810755e-09,2.3639307400458165e-08,8.949611718378492e-09,1.73130256797549e-08,1.878835043100935e-08,4.7462604015890975e-06,0.9891396164894104
Image_20,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",7.265771873044002e-10,1.404445781894026e-09,8.919623373238039e-10,1.5926573393443277e-09,5.5048192670881235e-09,3.951702964855031e-09,1.3215051275494716e-08,9.985210880358864e-09,1.8575203597492873e-08,9.611892615168927e-09,1.2958419404185406e-07,0.10310949385166168
Image_21,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.623405878260826e-10,1.5977946743461757e-09,1.0474524581027822e-09,2.7636926080987223e-09,8.666030559822957e-09,4.492182625881469e-09,2.8871461665858078e-08,2.1227540614177087e-08,3.726942310322556e-08,6.341343095073171e-08,1.0211497283307835e-05,0.9842568039894104
Image_22,n01443537,"goldfish, Carassius auratus",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.6086144682958547e-07,2.3355325140528294e-07,1.5765834859848837e-07,2.2466740290383314e-07,7.870647777963313e-07,1.2162677194282878e-06,5.848396540386602e-06,3.7378711112978635e-06,4.467962298804196e-06,1.0081696018460207e-05,4.966599226463586e-05,0.40012043714523315
Image_23,n01443537,"goldfish, Carassius auratus",n07747607,orange,0.02677624672651291,0.023349184542894363,0.024784479290246964,0.02430584654211998,0.01738601364195347,0.028615815564990044,0.04063795134425163,0.02820834331214428,0.02561996318399906,0.02579668164253235,0.023978304117918015,0.13395939767360687
Image_24,n01443537,"goldfish, Carassius auratus",n07720875,bell pepper,9.08999572857283e-05,3.605927122407593e-05,0.000112509100290481,8.765009988564998e-05,0.00010422201012261212,6.529265374410897e-05,0.00044557478395290673,0.0005398915964178741,0.00037248144508339465,0.0005082827410660684,0.0016755533870309591,0.17514708638191223
Image_25,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.307543069603241e-10,1.7593293488715744e-09,1.061873033947336e-09,2.3107686875079025e-09,8.244283478120451e-09,3.396606995664797e-09,2.7707205418892045e-08,1.3875983917444046e-08,2.7450910877746537e-08,2.580403801744069e-08,6.5009944592020474e-06,0.987978458404541
Image_26,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.005941548068108e-10,1.6881614994801453e-09,1.118810821765237e-09,2.484499717070321e-09,8.607629276013995e-09,3.5432992095962845e-09,2.0866494310212147e-08,1.32592292700906e-08,1.8088265107962798e-08,2.765985662733783e-08,2.076140845019836e-06,0.6925432085990906
Image_27,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0029246322318386e-09,2.052904735094785e-09,1.1913464659230044e-09,2.4770661077866407e-09,1.0474386691328164e-08,3.5564313716207607e-09,2.7305629757279348e-08,1.0971819897065416e-08,3.025149908353342e-08,1.7865636081637604e-08,1.726947402858059e-07,0.9069398045539856
Image_28,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.831873093446575e-10,1.7844642430375757e-09,1.0787734039396923e-09,2.3725019726583696e-09,8.62366889009536e-09,3.927430380912256e-09,2.188713210671267e-08,1.2363355672562193e-08,2.3856520314780028e-08,2.7205235397786964e-08,3.585869308153633e-07,0.8644656538963318
Image_29,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",7.653664368945101e-10,1.4706138529163582e-09,8.888525471206776e-10,2.0029899960860575e-09,4.802484188104472e-09,2.167382495699144e-09,2.138972021725749e-08,1.2754616030008492e-08,2.083571004618534e-08,1.719183018167314e-08,1.2844545381085481e-05,0.9460588097572327
Image_30,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0803475891663084e-09,1.7817972652878211e-09,1.1332607074976409e-09,3.1241087494748854e-09,1.1648382702844629e-08,4.63867122491024e-09,2.946977772921855e-08,2.7408558977981556e-08,5.5583747382570436e-08,7.401068558010593e-08,2.729227617237484e-06,0.9866129755973816
Image_31,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.258952941896041e-09,2.263454979001267e-09,1.321123543895908e-09,4.871008485451966e-09,1.7964296716854733e-08,8.273405960323998e-09,3.103805568116513e-08,2.8562336495951968e-08,6.821104392429334e-08,2.2918968056728772e-08,4.11784367315704e-06,0.9642645716667175
Image_32,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.920080230012672e-10,1.740955601903238e-09,1.0427871899310048e-09,2.3994113362846292e-09,8.099404702477386e-09,5.004156644616842e-09,3.62288155031365e-08,3.3941741861553965e-08,5.255582280483395e-08,7.168443261207358e-08,6.800943083362654e-06,0.9979925155639648
Image_33,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0351537405028921e-09,1.8277435120950258e-09,1.1337519811860375e-09,2.700191403803842e-09,1.2106459834626548e-08,4.723164526154733e-09,2.2408185529343427e-08,1.0274193051884595e-08,3.5108822515894644e-08,2.639426632811137e-08,1.1569868547667284e-06,0.9700770974159241
Image_34,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.21255174976443e-10,1.6504587696530848e-09,9.956799829069496e-10,2.305006407965493e-09,7.4009571804367624e-09,5.276189263270226e-09,1.3965200551524504e-08,1.2186347042586476e-08,2.1852349263440374e-08,1.4118745284008583e-08,3.798434704549436e-07,0.9047810435295105
Image_35,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.527044070838485e-10,1.7165633359184085e-09,9.386820210011138e-10,2.0541763845471905e-09,9.610781503965882e-09,6.3717413567587755e-09,4.372602546709459e-08,2.596853576619651e-08,4.4072653082594115e-08,2.7677284464289187e-08,7.856226034164138e-07,0.4753686487674713
Image_36,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.2164780294199318e-09,2.2541568611700313e-09,1.3569648737998818e-09,2.735150328447844e-09,1.1889554230037902e-08,6.77563249951163e-09,3.467238229859504e-08,1.944448513313546e-08,2.189374193051208e-08,1.9079635649177362e-08,8.2045909266526e-07,0.9859405755996704
Image_37,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.1400378419068602e-09,2.0475809936471023e-09,1.429976248523701e-09,4.498802219643494e-09,2.091315920438319e-08,1.0702863484368663e-08,6.02948304617712e-08,3.131891546104271e-08,2.828462442039381e-08,3.6851002249704834e-08,9.088652404898312e-06,0.8736101388931274
Image_38,n01443537,"goldfish, Carassius auratus",n02509815,"lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens",2.036952162498551e-09,1.0248020210212871e-08,8.002650098148933e-09,2.135420551496736e-08,4.481143989210068e-08,5.770121802584072e-08,1.923955039728753e-07,3.317592529583635e-07,1.156379312305944e-07,4.6846441392744964e-08,7.693404882047616e-07,0.18972823023796082
Image_39,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.1770002750211006e-09,2.225374551301229e-09,1.3555315758750908e-09,4.331490277564853e-09,1.3759056116668944e-08,8.13144040989755e-09,4.6991569746523965e-08,3.3755885198161195e-08,3.89127698952052e-08,3.492241162916798e-08,1.7407304540029145e-06,0.990790605545044
Image_40,n01443537,"goldfish, Carassius auratus",n03637318,"lampshade, lamp shade",0.0002736202150117606,0.0005768611445091665,0.0006184438825584948,0.0010350028751417994,0.0007299566059373319,0.0008235054556280375,0.0010887988610193133,0.0010786199709400535,0.0005515000084415078,0.00023491114552598447,0.0009304589475505054,0.12025661766529083
Image_41,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0624439106265982e-09,1.964517659658327e-09,1.3314788160911917e-09,2.582784430771312e-09,9.056489780334687e-09,6.236158700545502e-09,1.0599873867533915e-08,3.666435599569695e-09,9.574717019233958e-09,4.18924450684699e-09,3.8577955052687685e-08,0.7022948861122131
Image_42,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0863943078476268e-09,1.9897832270743265e-09,1.2695885454050426e-09,2.7628663801237963e-09,8.464804857055697e-09,4.25008028770435e-09,3.103297174789077e-08,2.6351957060910536e-08,3.0871653677877475e-08,1.1336472205414339e-08,1.8713254235080967e-07,0.9839698672294617
Image_43,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.0739318323516045e-09,1.9378305626815973e-09,1.1803420463252223e-09,3.952555172048733e-09,1.3641998641844566e-08,7.683858882501227e-09,3.535712167490601e-08,2.5483613441679154e-08,6.559344001288991e-08,5.3689063861384057e-08,5.335693003871711e-06,0.9967824220657349
Image_44,n01443537,"goldfish, Carassius auratus",n07720875,bell pepper,9.117167064687237e-05,3.341768024256453e-05,0.00011733328574337065,8.521736890543252e-05,0.00010500152711756527,8.06079333415255e-05,0.00034872061223722994,0.00032264136825688183,0.00026010768488049507,0.00021114126138854772,0.00038792716804891825,0.10757090151309967
Image_45,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.032994824880291e-10,1.679582140035052e-09,1.0304547215511661e-09,3.0347833135380142e-09,1.3355540673387623e-08,7.159076886864568e-09,5.719511619872719e-08,4.461563207769359e-08,6.538354568874638e-08,6.08713719429943e-08,3.866588485834654e-06,0.9675671458244324
Image_46,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.1313118220002139e-09,2.1095396540715683e-09,1.4093840539075586e-09,4.298597477969679e-09,1.2836501639412745e-08,6.9990129247798905e-09,2.6106064865416556e-08,1.802594162825244e-08,3.597954645329082e-08,5.597196661710768e-08,1.2400363630149513e-05,0.9947333335876465
Image_47,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",1.1089986706736e-09,2.061428139299437e-09,1.321121878561371e-09,3.716617902327357e-09,1.3427885470207457e-08,5.39814415390083e-09,6.116977147030411e-08,3.765514833276029e-08,3.5236325857113115e-08,2.464922133071923e-08,1.3718821492147981e-06,0.959355354309082
Image_48,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.518092342590933e-10,1.715002695412693e-09,1.2030633156356885e-09,2.543451893544102e-09,9.976539594447331e-09,4.10175138298996e-09,1.1510294939398591e-08,2.0311542670015115e-08,2.8316483380308455e-08,7.014490677192953e-08,2.7540925657376647e-05,0.8496754765510559
Image_49,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",9.777518794606976e-10,1.8545526225821618e-09,1.0767077229800748e-09,2.8330404688858835e-09,9.55522505563522e-09,3.132841319697377e-09,1.8137164659037808e-08,1.9730045153210085e-08,3.6795846369841456e-08,6.213188186166008e-08,2.5823079340625554e-05,0.9929076433181763
Image_50,n01443537,"goldfish, Carassius auratus",n01443537,"goldfish, Carassius auratus",8.200237155975287e-10,1.6302961203251698e-09,9.979284065764205e-10,2.6486211002207938e-09,9.55409884539904e-09,6.468701574391389e-09,4.556194355131993e-08,3.029469652915395e-08,4.0998031636263477e-08,6.539907104752274e-08,8.099179467535578e-06,0.9898916482925415
Image_51,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.9487196578626964e-11,2.0374328960071075e-11,2.7383293549343435e-11,4.26756095739389e-11,2.5153495952778826e-10,7.786552513877609e-10,3.944157445090468e-09,6.037800037717034e-09,4.3825636453220795e-09,3.01105131939039e-08,2.7271124736216734e-07,0.9437506794929504
Image_52,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.4254555001647073e-11,1.415238412572073e-11,1.865223427099938e-11,3.008187449138333e-11,1.5282863863319562e-10,5.101830069520474e-10,3.389661440422742e-09,3.7173475408991408e-09,3.745060261906019e-09,2.8836399934561996e-08,6.420069098567183e-07,0.9971485733985901
Image_53,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.9915204901854722e-11,1.653092419895419e-11,1.7422870438044136e-11,2.5688787902433674e-11,1.7622811543382966e-10,3.864194242364505e-10,3.8776901689629995e-09,4.78015849125768e-09,3.954664595795521e-09,1.8559687120500712e-08,3.56709733750904e-07,0.3174247443675995
Image_54,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.811878078128437e-11,1.692107391704223e-11,1.8234564899688444e-11,3.10553735505259e-11,1.2695094975256893e-10,3.831819306299167e-10,3.2192422061427806e-09,5.471673780732544e-09,4.58553772730852e-09,2.1471086597557587e-07,1.1743786672013812e-05,0.9982622265815735
Image_55,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.845677603806717e-11,1.947925154510699e-11,1.8642257876289037e-11,3.714005838983958e-11,1.745971978106553e-10,5.303271710666024e-10,3.295138384373786e-09,4.171010647979756e-09,8.536724216412495e-09,1.6613636688589395e-08,7.818608338538979e-08,0.4834519624710083
Image_56,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.6472469221984198e-11,1.5521825144637624e-11,1.673393715262428e-11,2.3809300017663126e-11,1.1596888033205133e-10,2.9105964860498545e-10,3.195350872786662e-09,3.2186178167137314e-09,4.050646484898834e-09,2.413223221253702e-08,7.006748319327016e-07,0.9874987006187439
Image_57,n01629819,"European fire salamander, Salamandra salamandra",n01944390,snail,0.0009443032322451472,0.0011219332227483392,0.0010783507023006678,0.001686380128376186,0.0016714705852791667,0.001827908563427627,0.002734450390562415,0.0012603849172592163,0.0014448179863393307,0.0017545509617775679,0.0024461231660097837,0.07128789275884628
Image_58,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.9302844045387957e-11,1.835523226467739e-11,2.7550279765864438e-11,5.6436806616932955e-11,3.521484770452332e-10,1.0126957050715646e-09,3.402900849991397e-09,3.682364635437807e-09,4.616341975349769e-09,7.113662991997671e-09,9.153679769724477e-08,0.9606879353523254
Image_59,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.0178796134029398e-11,2.1078711692767982e-11,2.9222235742309977e-11,5.225967575350765e-11,2.5583971052789423e-10,8.312727173276357e-10,5.542518888290715e-09,3.5920422192248225e-09,4.629952865542464e-09,1.7269030649913475e-08,2.8479860247898614e-07,0.9912352561950684
Image_60,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.8648070934657035e-11,1.8241092664128544e-11,1.8097107146175517e-11,2.6746460948801065e-11,1.468934834880642e-10,6.089078130600001e-10,3.6671459202608503e-09,7.058293505224356e-09,7.116053524214294e-09,7.370011445573255e-08,2.585632500995416e-06,0.7920278906822205
Image_61,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.7371448030045755e-11,1.8303043108902628e-11,1.9320312710791043e-11,3.331074305279458e-11,1.367136126528834e-10,4.510932460899397e-10,3.1121722976479305e-09,4.469393299899593e-09,8.596929390591868e-09,9.244227605620381e-09,6.772499006046928e-08,0.8051100969314575
Image_62,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.9721788438453736e-11,2.0819297674723458e-11,2.7140043684648063e-11,4.8437212574192756e-11,2.3892224310095855e-10,7.003245761083576e-10,2.59025489945941e-09,3.562256711830969e-09,3.1169267167285852e-09,2.379013785969164e-08,3.0006046927155694e-06,0.9975060820579529
Image_63,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.6236170394257066e-11,1.4717723567647667e-11,1.6042134634575156e-11,2.1593730276103784e-11,9.797769540131895e-11,2.0842678971622064e-10,1.4513837909291283e-09,3.0492575131546573e-09,3.0438924714104587e-09,1.3600448767192574e-08,2.926721265339438e-07,0.8425313830375671
Image_64,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.046701350066904e-11,2.2036728344887457e-11,2.94043921156284e-11,3.9650314281880483e-11,2.628969819618021e-10,6.992347256762343e-10,3.339268639379611e-09,2.926763498223295e-09,3.210547383503126e-09,1.1450177694882768e-08,4.5419074723440644e-08,0.5749338269233704
Image_65,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.1754277199081962e-11,2.0318160348642422e-11,2.4835822634572402e-11,3.680608248735062e-11,1.693161721938452e-10,8.395079076350953e-10,3.591943187331026e-09,2.461923997998383e-09,3.5242517792966055e-09,1.269701499495568e-08,1.3302572199336282e-07,0.9111268520355225
Image_66,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.4280607078809293e-11,1.3861588092634047e-11,1.791130091466364e-11,2.4233113779525972e-11,1.0676261957831557e-10,3.78077791296505e-10,2.4060828884842067e-09,2.845374380555654e-09,3.170338658264882e-09,9.221515995250229e-09,1.1491722773371293e-07,0.9591016173362732
Image_67,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.6087197546310605e-11,1.5167329198151336e-11,1.6680214501296753e-11,2.225189130178329e-11,1.3800570408672996e-10,3.738090670335481e-10,3.0016458207882124e-09,2.6846826983728533e-09,2.4717172752986016e-09,1.7085016068563164e-08,1.0336094646845595e-06,0.9650894999504089
Image_68,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.1306774053431177e-11,1.7500060428554676e-11,1.9482202309739627e-11,3.101501000468687e-11,1.3906356621795624e-10,3.4763719680697136e-10,1.9100159232010583e-09,1.5294784327934963e-09,2.2670525456902624e-09,1.4223237698729463e-08,3.987994432463893e-07,0.9935131669044495
Image_69,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.6182684492725983e-11,2.314298232219958e-11,2.970116513845156e-11,6.931860641046228e-11,3.448993868282457e-10,1.4459889952078697e-09,8.341231705344399e-09,7.999631179700373e-09,5.002257719155523e-09,4.5609219512243726e-08,1.0249814295093529e-06,0.9670218229293823
Image_70,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.2097181723301773e-11,1.9776678558680594e-11,2.1330182412016008e-11,3.625044361910135e-11,2.2748111727644016e-10,7.701801973958311e-10,5.66373214994087e-09,1.3902831774714741e-08,5.967723204491904e-09,7.453683537050892e-08,8.955204066296574e-06,0.9956117868423462
Image_71,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.0900245076282964e-11,1.944633169770338e-11,2.0741630635257025e-11,3.056204594953371e-11,1.9297265174689215e-10,9.712943782602679e-10,7.847360095070144e-09,8.17204526271098e-09,3.66533980944439e-09,4.169944034515538e-08,2.951298029074678e-06,0.9996854066848755
Image_72,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.2805403399051016e-11,2.1257421170539637e-11,2.4637144754868778e-11,4.165973468972517e-11,2.1815460549134968e-10,3.374444612624927e-10,2.1002266592518026e-09,3.2978548780704386e-09,3.3109028851896483e-09,1.4754279575868168e-08,1.3539219878566655e-07,0.989694356918335
Image_73,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.4733431488722637e-11,1.2710542687810467e-11,1.2833829485248138e-11,1.5873033790136937e-11,6.209081165886587e-11,2.9238858556546177e-10,5.160944116511246e-09,8.95189611327396e-09,3.5819152088834016e-09,1.1049427151021973e-08,1.2343715525275911e-06,0.9469606280326843
Image_74,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",1.2862056905649233e-11,1.1095878556244276e-11,1.1684377423937242e-11,1.3921325030252785e-11,6.420157461217713e-11,1.5751355775250886e-10,2.202497961789618e-09,2.3916475466734255e-09,3.84102172290568e-09,8.043795851619961e-09,1.7140841634954995e-08,0.30136704444885254
Image_75,n01629819,"European fire salamander, Salamandra salamandra",n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",1.4844526674551162e-07,2.2251924747251906e-07,1.533105233875176e-07,1.9928091887777555e-07,7.950480949148186e-07,4.421172548063623e-07,5.352447715267772e-06,2.241298034277861e-06,4.392788468976505e-06,6.089711405365961e-06,7.625077705597505e-05,0.41688311100006104
Image_76,n01629819,"European fire salamander, Salamandra salamandra",n03838899,"oboe, hautboy, hautbois",8.969072223408148e-05,0.00011859861842822284,0.00010071890574181452,8.733879803912714e-05,0.00016873786807991564,0.0003563465434126556,0.0008588734781369567,0.00029397965408861637,0.00017560343258082867,0.000395283626858145,0.00039232216659002006,0.09683438390493393
Image_77,n01629819,"European fire salamander, Salamandra salamandra",n01629819,"European fire salamander, Salamandra salamandra",2.3287574993369198e-11,2.1177023676322015e-11,2.476344997115465e-11,3.643491411353672e-11,2.0969195824172004e-10,7.960912484783478e-10,4.263872810383873e-09,5.043148121330887e-09,4.8509272154717564e-09,1.7808494234827776e-08,7.39980379194094e-08,0.5356655120849609
